Ball-Number,Commentary,Date and Time,over,ball,runs,happend_on_ball,extra
31.6,"Pat Cummins to Rahane, <b>wide</b>, a bouncer from Cummins, a tad too short and Rahane sways away from it. Called as a wide for height","Dec 17, 2018 2:44:29 PM",31,6,,WD,1
31.5,"Pat Cummins to Hanuma Vihari, 1 run, back of a length delivery outside off, Vihari rides the bounce and steers it to third man","Dec 17, 2018 2:43:43 PM",31,5,1.0,,0
31.4,"Pat Cummins to Hanuma Vihari, no run, similar length, Vihari covers the line before dead-batting it on the off-side adjacent to the pitch","Dec 17, 2018 2:42:56 PM",31,4,0.0,,0
31.3,"Pat Cummins to Hanuma Vihari, no run, shortish again, Vihari drops it into the pitch","Dec 17, 2018 2:42:08 PM",31,3,0.0,,0
31.2,"Pat Cummins to Hanuma Vihari, no run, ooh! That's misbehaved off the deck. Cummins banged it in short and the ball never bounced, Vihari trusted the bounce and was ducking for cover. Luckily, the ball bounced just enough to go over the glove","Dec 17, 2018 2:41:32 PM",31,2,0.0,,0
31.1,"Pat Cummins to Hanuma Vihari, <b>FOUR</b>, nicely done! Hint of inswing in this full-pitched ball and Vihari doesn't over-hit. Just a push downtown and there was no mid-on","Dec 17, 2018 2:40:59 PM",31,1,,,0
30.6,"Hazlewood to Hanuma Vihari, 1 run, straighter line and Vihari tucks it into the leg-side for a single","Dec 17, 2018 2:39:03 PM",30,6,1.0,,0
30.5,"Hazlewood to Hanuma Vihari, no run, shortish outside off, a skiddy ball, Vihari drops his wrists and sways away from it","Dec 17, 2018 2:38:19 PM",30,5,0.0,,0
30.4,"Hazlewood to Hanuma Vihari, no run, 139.6kph, full and angling in, Vihari knocks it to mid-on","Dec 17, 2018 2:37:40 PM",30,4,0.0,,0
30.3,"Hazlewood to Hanuma Vihari, no run, bangs it in short, but the angle takes it down leg, Vihari half-ducks to let it go","Dec 17, 2018 2:37:04 PM",30,3,0.0,,0
30.2,"Hazlewood to Hanuma Vihari, no run, 132.7kph, fuller than a good length ball, Vihari leans forward and drives it to wide mid-off","Dec 17, 2018 2:36:25 PM",30,2,0.0,,0
30.1,"Hazlewood to Rahane, 1 run, length ball, but the line is too straight, Rahane helps it on its way to long leg","Dec 17, 2018 2:35:47 PM",30,1,1.0,,0
29.6,"Lyon to Rahane, 3 runs, rare short ball from Lyon, provides width as well, Rahane rocks back and cuts through point for a triple","Dec 17, 2018 2:34:43 PM",29,6,3.0,,0
29.5,"Lyon to Rahane, no run, forward and blocked","Dec 17, 2018 2:34:07 PM",29,5,0.0,,0
29.4,"Lyon to Rahane, <b>FOUR</b>, drifting away, Rahane gets into an awkward position after stepping out of his crease. He had to stick his bat out and gets a fat outside edge that evades first slip and tickles away to third man","Dec 17, 2018 2:33:40 PM",29,4,,,0
29.3,"Lyon to Rahane, no run, plunges forward and offers his pad to this off-break with extra bounce. Pops up off the pad, brushes the glove and falls into the off-side","Dec 17, 2018 2:33:03 PM",29,3,0.0,,0
